Secos;Duplos;Triplos;Num_de_Apostas;Valor
6;5;3;864;1728
5;8;1;768;1536
8;0;6;729;1458
7;3;4;648;1296
6;6;2;576;1152
5;9;0;512;1024
8;1;5;486;972
7;4;3;432;864
6;7;1;384;768
8;2;4;324;648
7;5;2;288;576
6;8;0;256;512
9;0;5;243;486
8;3;3;216;432
7;6;1;192;384
9;1;4;162;324
8;4;2;144;288
7;7;0;128;256
9;2;3;108;216
8;5;1;96;192
10;0;4;81;162
9;3;2;72;144
8;6;0;64;128
10;1;3;54;108
9;4;1;48;96
10;2;2;36;72
9;5;0;32;64
11;0;3;27;54
10;3;1;24;48
11;1;2;18;36
10;4;0;16;32
11;2;1;12;24
12;0;2;9;18
11;3;0;8;16
12;1;1;6;12
12;2;0;4;8
13;0;1;3;6
13;1;0;2;4
